11/1/2015	716270	332696	140302
11/2/2015	976814	450594	216884
11/3/2015	988909	439046	178311
11/4/2015	1575653	708801	218694
11/5/2015	1521723	623369	171233
11/6/2015	1585823	593886	188107
11/7/2015	1208879	506747	175279
11/8/2015	1136461	550470	169789
11/9/2015	1298244	586757	190120
11/10/2015	1041639	303771	44581
11/11/2015	1258015	322653	56347
11/12/2015	1557975	731588	276539
11/13/2015	1458982	642753	273844
11/14/2015	1251016	567037	181531
11/15/2015	1085773	494426	171766
11/16/2015	1233097	565472	206366
11/17/2015	1582252	775781	65077
11/18/2015	1435557	749610	168475
11/19/2015	1389881	610109	74007
11/20/2015	1913938	363630	39619
11/21/2015	2108554	537345	53178
11/22/2015	1965754	404506	95424
11/23/2015	1575388	601696	225695
11/24/2015	1845253	768012	239359
11/25/2015	1781951	713205	127465
11/26/2015	1634373	762817	163393
11/27/2015	1445155	769171	219995
11/28/2015	1356302	671674	142504
11/29/2015	1324952	562793	109088
11/30/2015	2045646	593133	147508
